Start Date,Start Time,End Date,End Time,Duration (h)
11/05/2021,14:42:53,11/05/2021,16:12:18,01:29:25
12/05/2021,15:02:29,12/05/2021,15:49:06,00:46:37
07/05/2021,13:00:00,07/05/2021,13:47:00,00:47:00
24/05/2021,10:00:00,24/05/2021,11:31:00,01:31:00
25/05/2021,10:00:00,25/05/2021,11:41:00,01:41:00
26/05/2021,14:00:00,26/05/2021,15:35:00,01:35:00
27/05/2021,11:05:23,27/05/2021,12:23:20,01:17:57
27/05/2021,11:20:00,27/05/2021,12:45:00,01:25:00
27/05/2021,12:46:36,27/05/2021,15:04:26,02:17:50
31/05/2021,10:00:00,31/05/2021,10:27:58,00:27:58
07/05/2021,16:50:00,07/05/2021,17:29:00,00:39:00
07/05/2021,15:40:08,07/05/2021,16:04:46,00:24:38
07/05/2021,16:05:35,07/05/2021,16:59:27,00:53:52
19/05/2021,13:08:07,19/05/2021,13:30:48,00:22:41
19/05/2021,13:32:52,19/05/2021,14:18:52,00:46:00
19/05/2021,14:27:03,19/05/2021,14:48:05,00:21:02
19/05/2021,15:03:49,19/05/2021,15:22:08,00:18:19
19/05/2021,15:24:49,19/05/2021,15:33:28,00:08:39
19/05/2021,15:38:10,19/05/2021,16:04:17,00:26:07
21/05/2021,10:11:00,21/05/2021,10:29:00,00:18:00
24/05/2021,08:50:47,24/05/2021,08:50:48,00:00:01
24/05/2021,08:51:47,24/05/2021,09:21:37,00:29:50
24/05/2021,13:18:57,24/05/2021,13:43:11,00:24:14
24/05/2021,15:18:25,24/05/2021,15:28:08,00:09:43
26/05/2021,13:36:28,26/05/2021,13:40:34,00:04:06
26/05/2021,16:56:47,26/05/2021,17:17:08,00:20:21
26/05/2021,17:18:30,26/05/2021,17:20:50,00:02:20
27/05/2021,09:43:20,27/05/2021,10:01:38,00:18:18
27/05/2021,13:15:27,27/05/2021,13:27:08,00:11:41
27/05/2021,13:28:52,27/05/2021,13:44:37,00:15:45
28/05/2021,08:50:09,28/05/2021,09:17:06,00:26:57
28/05/2021,09:17:35,28/05/2021,09:55:18,00:37:43
28/05/2021,13:30:26,28/05/2021,13:56:59,00:26:33
